"","schid","minority","female","ses","mathach","size","schtype","meanses"
"73","1296",1,1,-0.148,12.668,1719,0,-0.42
"74","1296",1,0,-0.858,0.781,1719,0,-0.42
"75","1296",1,1,-1.568,4.968,1719,0,-0.42
"76","1296",1,0,-0.898,23.172,1719,0,-0.42
"77","1296",1,1,-0.288,8.278,1719,0,-0.42
"78","1296",1,1,-1.088,6.244,1719,0,-0.42
"79","1296",1,1,-1.388,1.326,1719,0,-0.42
"80","1296",1,0,-1.148,2.359,1719,0,-0.42
"81","1296",1,1,-0.558,6.757,1719,0,-0.42
"82","1296",1,1,-0.698,6.251,1719,0,-0.42
"83","1296",1,1,0.142,3.404,1719,0,-0.42
"84","1296",1,0,0.522,22.201,1719,0,-0.42
"85","1296",1,0,0.732,-1.353,1719,0,-0.42
"86","1296",1,1,-0.248,-0.014,1719,0,-0.42
"87","1296",1,1,0.322,5.216,1719,0,-0.42
"88","1296",1,1,0.052,3.587,1719,0,-0.42
"89","1296",1,1,-0.028,11.162,1719,0,-0.42
"90","1296",1,1,-0.898,5.982,1719,0,-0.42
"91","1296",1,0,-0.818,2.814,1719,0,-0.42
"92","1296",1,1,-1.408,7.272,1719,0,-0.42
"93","1296",1,0,-1.258,8.895,1719,0,-0.42
"94","1296",1,0,-0.608,8.773,1719,0,-0.42
"95","1296",1,1,1.242,12.176,1719,0,-0.42
"96","1296",0,0,-0.688,3.052,1719,0,-0.42
"97","1296",1,1,-0.828,6.834,1719,0,-0.42
"98","1296",1,1,-0.698,3.255,1719,0,-0.42
"99","1296",1,1,-0.498,6.355,1719,0,-0.42
"100","1296",1,0,-0.658,11.589,1719,0,-0.42
"101","1296",1,1,-0.778,8.08,1719,0,-0.42
"102","1296",1,1,-0.098,19.822,1719,0,-0.42
"103","1296",1,1,-1.028,14.239,1719,0,-0.42
"104","1296",1,1,-0.418,1.17,1719,0,-0.42
"105","1296",1,1,-0.408,-1.127,1719,0,-0.42
"106","1296",1,0,0.352,10.84,1719,0,-0.42
"107","1296",1,1,-1.628,6.778,1719,0,-0.42
"108","1296",1,1,-0.698,9.449,1719,0,-0.42
"109","1296",1,0,-0.168,5.995,1719,0,-0.42
"110","1296",1,1,-0.718,4.765,1719,0,-0.42
"111","1296",1,1,-1.008,14.399,1719,0,-0.42
"112","1296",1,0,-0.178,6.588,1719,0,-0.42
"113","1296",1,0,0.392,11.026,1719,0,-0.42
"114","1296",1,1,-0.358,7.095,1719,0,-0.42
"115","1296",1,0,-0.628,12.721,1719,0,-0.42
"116","1296",1,0,-0.038,5.52,1719,0,-0.42
"117","1296",1,1,0.972,7.353,1719,0,-0.42
"118","1296",1,1,0.252,7.095,1719,0,-0.42
"119","1296",1,1,0.332,9.999,1719,0,-0.42
"120","1296",1,0,-0.308,10.715,1719,0,-0.42
"121","1308",0,0,0.422,13.233,716,1,0.534
"122","1308",0,0,0.562,13.952,716,1,0.534
"123","1308",1,0,-0.058,13.757,716,1,0.534
"124","1308",0,0,0.952,13.97,716,1,0.534
"125","1308",0,0,0.622,23.434,716,1,0.534
"126","1308",0,0,0.832,9.162,716,1,0.534
"127","1308",0,0,1.512,23.818,716,1,0.534
"128","1308",0,0,0.622,15.998,716,1,0.534
"129","1308",1,0,0.332,16.039,716,1,0.534
"130","1308",0,0,0.442,24.993,716,1,0.534
"131","1308",1,0,0.582,15.657,716,1,0.534
"132","1308",0,0,1.102,16.258,716,1,0.534
"133","1308",0,0,0.892,10.546,716,1,0.534
"134","1308",1,0,0.802,17.615,716,1,0.534
"135","1308",1,0,-0.568,21.116,716,1,0.534
"136","1308",1,0,0.522,6.493,716,1,0.534
"137","1308",1,0,0.102,2.512,716,1,0.534
"138","1308",1,0,-0.348,22.393,716,1,0.534
"139","1308",0,0,0.552,21.488,716,1,0.534
"140","1308",0,0,0.682,22.676,716,1,0.534
"141","1317",0,1,0.882,12.862,455,1,0.351
"142","1317",1,1,0.932,8.961,455,1,0.351
"143","1317",1,1,-0.158,4.756,455,1,0.351
"144","1317",1,1,0.362,21.405,455,1,0.351
"145","1317",0,1,1.372,20.748,455,1,0.351
"146","1317",1,1,0.132,18.362,455,1,0.351
"147","1317",0,1,0.132,14.752,455,1,0.351
"148","1317",1,1,-0.008,11.29,455,1,0.351
"149","1317",1,1,-0.108,10.493,455,1,0.351
"150","1317",1,1,0.612,10.956,455,1,0.351
"151","1317",1,1,0.482,21.405,455,1,0.351
"152","1317",0,1,0.502,23.355,455,1,0.351
"153","1317",1,1,0.482,12.283,455,1,0.351
"154","1317",1,1,0.472,9.257,455,1,0.351
"155","1317",0,1,-0.578,11.502,455,1,0.351
"156","1317",1,1,1.152,20.039,455,1,0.351
"157","1317",1,1,-0.288,21.405,455,1,0.351
"158","1317",1,1,0.942,23.736,455,1,0.351
"159","1317",1,1,0.722,11.027,455,1,0.351
"160","1317",1,1,-0.108,17.203,455,1,0.351
"161","1317",1,1,1.462,10.661,455,1,0.351
"162","1317",1,1,-0.028,7.031,455,1,0.351
"163","1317",0,1,0.702,13.677,455,1,0.351
"164","1317",1,1,0.082,13.373,455,1,0.351
"165","1317",1,1,-0.108,10.121,455,1,0.351
"166","1317",1,1,0.322,10.394,455,1,0.351
"167","1317",1,1,0.302,6.973,455,1,0.351
"168","1317",0,1,-0.098,11.064,455,1,0.351
"169","1317",1,1,-0.848,11.531,455,1,0.351
"170","1317",1,1,-1.248,8.253,455,1,0.351
"171","1317",1,1,0.122,7.142,455,1,0.351
"172","1317",1,1,0.272,3.22,455,1,0.351
"173","1317",0,1,0.582,15.784,455,1,0.351
"174","1317",1,1,0.642,17.246,455,1,0.351
"175","1317",1,1,0.952,9.337,455,1,0.351
"176","1317",1,1,-0.258,15.555,455,1,0.351
"177","1317",1,1,0.492,8.382,455,1,0.351
"178","1317",0,1,0.992,11.621,455,1,0.351
"179","1317",1,1,0.832,4.81,455,1,0.351
"180","1317",1,1,-0.068,17.869,455,1,0.351
"181","1317",1,1,-0.088,8.057,455,1,0.351
"182","1317",1,1,0.972,11.794,455,1,0.351
"183","1317",0,1,0.542,18.939,455,1,0.351
"184","1317",1,1,0.132,20.261,455,1,0.351
"185","1317",1,1,-0.008,10.066,455,1,0.351
"186","1317",0,1,0.812,20.236,455,1,0.351
"187","1317",0,1,1.122,4.508,455,1,0.351
"188","1317",0,1,0.062,18.827,455,1,0.351
"189","1358",1,0,0.032,-1.347,1430,0,-0.014
"190","1358",0,1,-1.088,8.054,1430,0,-0.014
"191","1358",0,0,0.372,15.655,1430,0,-0.014
"192","1358",0,0,-0.568,11.648,1430,0,-0.014
"193","1358",0,0,-0.328,11.629,1430,0,-0.014
"194","1358",0,1,-0.018,18.687,1430,0,-0.014
"195","1358",1,0,-1.208,-0.827,1430,0,-0.014
"196","1358",0,0,-0.098,7.87,1430,0,-0.014
"197","1358",0,0,0.942,18.115,1430,0,-0.014
"198","1358",0,1,-1.408,3.792,1430,0,-0.014
"199","1358",0,0,0.122,11.03,1430,0,-0.014
"200","1358",0,1,0.362,7.564,1430,0,-0.014
"201","1358",1,1,-0.708,3.465,1430,0,-0.014
"202","1358",0,0,0.252,15.038,1430,0,-0.014
"203","1358",0,1,0.312,10.184,1430,0,-0.014
"204","1358",0,1,-0.678,2.933,1430,0,-0.014
"205","1358",0,0,-0.148,8.438,1430,0,-0.014
"206","1358",0,1,-0.168,7.519,1430,0,-0.014
"207","1358",0,0,1.092,18.735,1430,0,-0.014
"208","1358",0,1,0.232,10.19,1430,0,-0.014
"209","1358",0,0,0.422,16.294,1430,0,-0.014
"210","1358",0,0,1.282,10.65,1430,0,-0.014
"211","1358",0,0,-0.248,10.301,1430,0,-0.014
"212","1358",0,0,0.952,17.811,1430,0,-0.014
"213","1358",0,1,-0.038,14.646,1430,0,-0.014
"214","1358",0,1,-0.398,17.191,1430,0,-0.014
"215","1358",0,0,0.162,8.69,1430,0,-0.014
"216","1358",0,0,0.682,21.142,1430,0,-0.014
"217","1358",0,0,-0.668,16.499,1430,0,-0.014
"218","1358",0,0,-0.038,14.591,1430,0,-0.014
"219","1374",0,0,0.322,16.663,2400,0,-0.007
"220","1374",1,1,0.212,-2.155,2400,0,-0.007
"221","1374",1,1,0.682,0.085,2400,0,-0.007
"222","1374",0,1,-0.148,18.804,2400,0,-0.007
"223","1374",1,1,-0.468,2.409,2400,0,-0.007
"224","1374",0,1,0.842,16.759,2400,0,-0.007
"225","1374",1,0,0.072,18.948,2400,0,-0.007
"226","1374",0,1,0.332,10.593,2400,0,-0.007
"227","1374",0,0,-0.858,15.557,2400,0,-0.007
"228","1374",0,0,0.902,23.419,2400,0,-0.007
"229","1374",1,0,1.242,0.333,2400,0,-0.007
"230","1374",0,0,-0.738,-2.002,2400,0,-0.007
"231","1374",0,0,0.362,24.041,2400,0,-0.007
"232","1374",1,0,0.712,-2.657,2400,0,-0.007
"233","1374",0,1,0.452,7.603,2400,0,-0.007
"234","1374",1,0,-0.598,5.803,2400,0,-0.007
"235","1374",1,0,-1.028,3.931,2400,0,-0.007
"236","1374",0,0,-0.338,8.268,2400,0,-0.007
"237","1374",0,0,-0.948,1.344,2400,0,-0.007
"238","1374",1,0,0.292,16.449,2400,0,-0.007
"239","1374",0,1,-1.218,2.881,2400,0,-0.007
"240","1374",0,1,0.492,20.93,2400,0,-0.007
"241","1374",0,0,1.152,22.086,2400,0,-0.007
"242","1374",0,1,-0.758,7.653,2400,0,-0.007
"243","1374",0,1,-0.298,8.082,2400,0,-0.007
"244","1374",0,1,-0.478,5.503,2400,0,-0.007
"245","1374",0,1,0.192,9.004,2400,0,-0.007
"246","1374",0,0,-0.738,12.063,2400,0,-0.007
"247","1433",0,0,0.812,12.907,899,1,0.718
"248","1433",0,0,1.332,18.496,899,1,0.718
"249","1433",0,0,-0.338,20.323,899,1,0.718
"250","1433",0,0,1.082,22.682,899,1,0.718
"251","1433",0,0,0.542,14.198,899,1,0.718
"252","1433",0,0,0.382,24.044,899,1,0.718
"253","1433",0,0,0.592,19.571,899,1,0.718
"254","1433",0,0,0.852,22.183,899,1,0.718
"255","1433",0,0,-0.368,16.676,899,1,0.718
"256","1433",0,0,1.022,23.327,899,1,0.718
"257","1433",0,0,0.712,16.394,899,1,0.718
"258","1433",0,0,0.272,23.032,899,1,0.718
"259","1433",0,0,1.182,18.586,899,1,0.718
"260","1433",0,0,-0.588,15.246,899,1,0.718
"261","1433",0,0,1.282,20.731,899,1,0.718
"262","1433",0,0,0.942,20.447,899,1,0.718
"263","1433",0,0,1.512,23.572,899,1,0.718
"264","1433",0,0,0.222,17.571,899,1,0.718
"265","1433",0,0,0.992,24.993,899,1,0.718
"266","1433",0,0,1.362,24.421,899,1,0.718
"267","1433",0,0,0.482,11.478,899,1,0.718
"268","1433",0,0,1.292,24.812,899,1,0.718
"269","1433",0,0,1.072,22.093,899,1,0.718
"270","1433",0,0,0.562,18.716,899,1,0.718
"271","1433",0,0,-0.218,23.392,899,1,0.718
"272","1433",0,0,1.512,15.992,899,1,0.718
"273","1433",0,0,0.772,13.254,899,1,0.718
"274","1433",0,0,0.952,24.812,899,1,0.718
"275","1433",0,0,1.392,22.086,899,1,0.718
"276","1433",1,0,1.002,24.479,899,1,0.718
"277","1433",0,0,0.932,16.724,899,1,0.718
"278","1433",0,0,-0.458,20.628,899,1,0.718
"279","1433",0,0,-0.198,14.544,899,1,0.718
"280","1433",0,0,0.952,19.033,899,1,0.718
"281","1433",0,0,1.072,18.727,899,1,0.718
"282","1436",0,0,0.222,24.133,185,1,0.569
"283","1436",0,0,-0.078,18.77,185,1,0.569
"284","1436",0,0,1.512,21.803,185,1,0.569
"285","1436",0,0,0.212,9.561,185,1,0.569
"286","1436",0,1,0.792,15.132,185,1,0.569
"287","1436",0,1,1.342,22.387,185,1,0.569
"288","1436",0,0,0.242,22.578,185,1,0.569
"289","1436",0,0,-0.298,18.763,185,1,0.569
"290","1436",0,0,-1.038,18.301,185,1,0.569
"291","1436",0,0,0.682,15.879,185,1,0.569
"292","1436",0,0,0.802,20.424,185,1,0.569
"293","1436",0,0,0.952,23.072,185,1,0.569
"294","1436",0,1,1.002,13.12,185,1,0.569
"295","1436",0,0,1.142,18.844,185,1,0.569
"296","1436",0,1,0.482,17.495,185,1,0.569
"297","1436",0,1,1.512,15.615,185,1,0.569
"298","1436",0,1,0.242,11.001,185,1,0.569
"299","1436",0,1,1.222,17.103,185,1,0.569
"300","1436",0,1,-0.298,21.56,185,1,0.569
"301","1436",0,0,-0.338,19.419,185,1,0.569
"302","1436",0,1,1.042,18.471,185,1,0.569
"303","1436",0,0,0.672,22.868,185,1,0.569
"304","1436",0,0,0.732,14.138,185,1,0.569
"305","1436",0,0,0.822,23.271,185,1,0.569
"306","1436",0,0,0.362,13.472,185,1,0.569
"307","1436",0,0,-0.318,17.465,185,1,0.569
"308","1436",0,0,0.682,16.038,185,1,0.569
"309","1436",0,0,0.712,22.455,185,1,0.569
"310","1436",0,0,0.542,18.984,185,1,0.569
"311","1436",0,0,0.252,12.535,185,1,0.569
"312","1436",0,1,0.482,16.568,185,1,0.569
"313","1436",0,0,-0.028,22.592,185,1,0.569
"314","1436",0,0,0.252,16.886,185,1,0.569
"315","1436",0,0,0.702,22.985,185,1,0.569
"316","1436",0,1,0.212,6.798,185,1,0.569
"317","1436",0,1,0.342,5.51,185,1,0.569
"318","1436",0,0,1.342,24.479,185,1,0.569
"319","1436",0,1,1.512,18.827,185,1,0.569
"320","1436",0,1,1.212,20.268,185,1,0.569
"321","1436",0,0,1.122,24.993,185,1,0.569
"322","1436",0,0,0.272,15.06,185,1,0.569
"323","1436",0,1,0.782,20.818,185,1,0.569
"324","1436",0,0,-0.018,18.33,185,1,0.569
"325","1436",0,0,0.772,18.14,185,1,0.569
"326","1461",0,1,0.042,12.962,1672,0,0.683
"327","1461",0,1,1.282,24.545,1672,0,0.683
"328","1461",0,1,1.122,13.314,1672,0,0.683
"329","1461",0,1,1.172,16.929,1672,0,0.683
"330","1461",0,1,-1.108,3.796,1672,0,0.683
"331","1461",0,1,0.822,14.581,1672,0,0.683
"332","1461",0,1,0.482,18.719,1672,0,0.683
"333","1461",0,1,0.902,12.595,1672,0,0.683
"334","1461",0,1,1.022,17.326,1672,0,0.683
"335","1461",0,1,0.602,15.918,1672,0,0.683
"336","1461",0,0,1.272,23.088,1672,0,0.683
"337","1461",0,0,1.352,18.259,1672,0,0.683
"338","1461",0,0,1.422,23.517,1672,0,0.683
"339","1461",0,0,-0.108,14.157,1672,0,0.683
"340","1461",0,0,-0.358,17.999,1672,0,0.683
"341","1461",0,1,1.202,18.858,1672,0,0.683
"342","1461",0,0,-0.778,22.183,1672,0,0.683
"343","1461",0,1,1.102,24.993,1672,0,0.683
"344","1461",0,1,1.012,20.928,1672,0,0.683
"345","1461",0,0,1.262,22.461,1672,0,0.683
"346","1461",0,0,1.392,18.322,1672,0,0.683
"347","1461",0,1,-0.258,2.895,1672,0,0.683
"348","1461",0,0,0.932,21.007,1672,0,0.683
"349","1461",0,0,1.062,18.471,1672,0,0.683
"350","1461",0,0,1.212,24.48,1672,0,0.683
"351","1461",0,1,0.982,18.471,1672,0,0.683
"352","1461",0,1,0.462,18.831,1672,0,0.683
"353","1461",0,1,0.532,18.114,1672,0,0.683
"354","1461",0,0,1.062,22.685,1672,0,0.683
"355","1461",0,0,0.172,-0.338,1672,0,0.683
"356","1461",0,1,0.492,21.09,1672,0,0.683
"357","1461",1,0,-0.668,-2.832,1672,0,0.683
"358","1461",0,1,1.262,17.483,1672,0,0.683
"359","1462",1,0,0.162,1.967,530,1,-0.663
"360","1462",1,0,-0.758,7.718,530,1,-0.663
"361","1462",1,0,-0.708,19.043,530,1,-0.663
"362","1462",1,0,-0.818,20.133,530,1,-0.663
"363","1462",1,0,-1.918,22.289,530,1,-0.663
"364","1462",1,0,-0.948,14.277,530,1,-0.663
"365","1462",1,0,-0.798,10.189,530,1,-0.663
"366","1462",1,0,-1.458,9.607,530,1,-0.663
"367","1462",1,0,-0.158,6.125,530,1,-0.663
"368","1462",1,0,-0.378,23.818,530,1,-0.663
"369","1462",1,0,-1.068,6.34,530,1,-0.663
"370","1462",1,0,-0.808,9.437,530,1,-0.663
"371","1462",1,0,-1.648,8.168,530,1,-0.663
"372","1462",1,0,-0.288,4.31,530,1,-0.663
"373","1462",1,0,-0.328,6.986,530,1,-0.663
"374","1462",1,0,-0.498,21.452,530,1,-0.663
"375","1462",1,0,-0.158,9.167,530,1,-0.663
"376","1462",1,0,-0.728,9.625,530,1,-0.663
"377","1462",1,0,-0.948,0.722,530,1,-0.663
"378","1462",1,0,-0.728,3.115,530,1,-0.663
"379","1462",1,0,-1.508,23.066,530,1,-0.663
"380","1462",1,0,-0.088,4.518,530,1,-0.663
"381","1462",1,0,-0.638,5.337,530,1,-0.663
"382","1462",1,0,-0.358,4.103,530,1,-0.663
"383","1462",1,0,-0.658,15.794,530,1,-0.663
"384","1462",1,0,-0.958,1.975,530,1,-0.663
"385","1462",1,0,-1.208,2.693,530,1,-0.663
"386","1462",1,0,-0.378,13.809,530,1,-0.663
"387","1462",1,0,-0.918,7.964,530,1,-0.663
"388","1462",1,0,0.222,2.142,530,1,-0.663
"389","1462",1,0,0.312,6.035,530,1,-0.663
"390","1462",1,0,-0.488,17.996,530,1,-0.663
"391","1462",0,0,0.302,20.792,530,1,-0.663
"392","1462",1,0,-0.868,9.909,530,1,-0.663
"393","1462",1,0,-0.708,5.189,530,1,-0.663
"394","1462",1,0,-1.178,7.772,530,1,-0.663
"395","1462",1,0,-0.498,12.074,530,1,-0.663
"396","1462",1,0,0.032,15.103,530,1,-0.663
"397","1462",1,0,-1.318,11.252,530,1,-0.663
"398","1462",1,0,-1.948,1.283,530,1,-0.663
"399","1462",1,0,-0.738,16.975,530,1,-0.663
"400","1462",1,0,-0.558,8.762,530,1,-0.663
"401","1462",1,0,-0.518,6.789,530,1,-0.663
"402","1462",1,0,-1.098,12.283,530,1,-0.663
"403","1462",1,0,-0.778,11.479,530,1,-0.663
"404","1462",1,0,-1.068,9.071,530,1,-0.663
"405","1462",1,0,-0.388,9.474,530,1,-0.663
"406","1462",1,0,0.222,12.089,530,1,-0.663
"407","1462",1,0,0.112,16.534,530,1,-0.663
"408","1462",1,0,-0.528,6.331,530,1,-0.663
"409","1462",1,0,-0.398,10.386,530,1,-0.663
"410","1462",1,0,-0.358,8.163,530,1,-0.663
"411","1462",1,0,-0.598,18.801,530,1,-0.663
"412","1462",1,0,-1.708,22.581,530,1,-0.663
"413","1462",1,0,-0.268,16.095,530,1,-0.663
"414","1462",1,0,-2.058,5.321,530,1,-0.663
"415","1462",1,0,0.402,3.819,530,1,-0.663
"416","1477",0,1,-0.178,14.15,531,1,0.166
"417","1477",0,0,-0.108,3.976,531,1,0.166
"418","1477",0,0,0.262,3.846,531,1,0.166
"419","1477",1,0,-0.358,5.238,531,1,0.166
"420","1477",0,1,0.982,9.349,531,1,0.166
"421","1477",0,1,0.462,23.765,531,1,0.166
"422","1477",0,0,-0.208,22.84,531,1,0.166
"423","1477",0,0,0.812,1.606,531,1,0.166
"424","1477",0,1,-0.388,19.269,531,1,0.166
"425","1477",0,0,0.282,17.191,531,1,0.166
"426","1477",0,0,0.012,16.288,531,1,0.166
"427","1477",0,0,0.392,7.106,531,1,0.166
"428","1477",0,0,-1.068,20.714,531,1,0.166
"429","1477",0,0,0.662,18.171,531,1,0.166
"430","1477",0,1,0.002,21.951,531,1,0.166
"431","1477",0,0,-0.388,-2.832,531,1,0.166
"432","1477",0,0,1.222,20.246,531,1,0.166
"433","1477",1,1,-0.368,21.75,531,1,0.166
"434","1477",0,1,-0.588,16.337,531,1,0.166
"435","1477",0,1,0.642,16.061,531,1,0.166
"436","1477",0,1,0.892,11.724,531,1,0.166
"437","1477",0,1,1.152,19.401,531,1,0.166
"438","1477",0,1,-0.518,2.186,531,1,0.166
"439","1477",0,1,0.002,23.204,531,1,0.166
"440","1477",0,0,0.202,12.755,531,1,0.166
"441","1477",0,0,1.512,14.076,531,1,0.166
"442","1477",0,0,-0.238,22.493,531,1,0.166
"443","1477",0,0,0.022,22.714,531,1,0.166
"444","1477",0,0,0.562,11.031,531,1,0.166
"445","1477",0,1,-0.658,18.777,531,1,0.166
"446","1477",0,0,0.352,24.107,531,1,0.166
"447","1477",0,1,0.702,23.004,531,1,0.166
"448","1477",1,0,-0.588,8.136,531,1,0.166
"449","1477",0,1,0.152,10.714,531,1,0.166
"450","1477",0,1,-0.218,12.59,531,1,0.166
"451","1477",0,0,0.932,14.732,531,1,0.166
"452","1477",0,1,1.312,22.396,531,1,0.166
"453","1477",0,0,0.352,16.304,531,1,0.166
"454","1477",0,0,-0.748,16.19,531,1,0.166
"455","1477",0,1,0.652,7.275,531,1,0.166
"456","1477",0,1,0.652,14.809,531,1,0.166
"457","1477",0,0,0.042,-0.203,531,1,0.166
"458","1477",0,0,-0.808,17.967,531,1,0.166
"459","1477",0,0,1.342,24.247,531,1,0.166
"460","1477",0,1,1.512,6.946,531,1,0.166
"461","1477",0,0,0.492,17.791,531,1,0.166
"462","1477",0,1,0.152,8.856,531,1,0.166
"463","1477",0,0,-0.818,10.349,531,1,0.166
"464","1477",0,1,-0.918,9.44,531,1,0.166
"465","1477",0,1,1.072,4.999,531,1,0.166
"466","1477",0,1,0.252,7.873,531,1,0.166
"467","1477",0,0,-0.548,17.007,531,1,0.166
"468","1477",0,0,0.072,16.262,531,1,0.166
"469","1477",0,1,-1.408,0.466,531,1,0.166
"470","1477",0,0,0.052,18.887,531,1,0.166
"471","1477",0,0,-0.118,24.812,531,1,0.166
"472","1477",0,0,1.212,15.245,531,1,0.166
"473","1477",0,1,-0.268,14.958,531,1,0.166
"474","1477",0,0,-0.248,12.508,531,1,0.166
"475","1477",0,0,0.632,21.853,531,1,0.166
"476","1477",0,1,-0.158,20.844,531,1,0.166
"477","1477",0,1,-0.208,5.418,531,1,0.166
"478","1499",0,1,-0.678,5.608,1921,0,-0.46
"479","1499",0,1,-0.158,18.352,1921,0,-0.46
"480","1499",0,1,-0.468,5.949,1921,0,-0.46
"481","1499",1,1,-0.148,-1.462,1921,0,-0.46
"482","1499",1,1,-0.928,4.087,1921,0,-0.46
"483","1499",0,1,-0.218,10.258,1921,0,-0.46
"484","1499",0,0,0.662,21.791,1921,0,-0.46
"485","1499",0,0,-0.228,1.365,1921,0,-0.46
"486","1499",0,1,-0.368,1.73,1921,0,-0.46
"487","1499",1,1,0.342,5.093,1921,0,-0.46
"488","1499",0,0,0.692,17.572,1921,0,-0.46
"489","1499",1,0,-0.898,11.211,1921,0,-0.46
"490","1499",1,1,-0.578,6.018,1921,0,-0.46
"491","1499",0,1,-1.178,6.394,1921,0,-0.46
"492","1499",1,0,-1.608,14.681,1921,0,-0.46
"493","1499",1,0,-1.048,11.868,1921,0,-0.46
"494","1499",1,1,0.382,2.404,1921,0,-0.46
"495","1499",0,1,-0.958,2.042,1921,0,-0.46
"496","1499",1,1,0.432,11.685,1921,0,-0.46
"497","1499",1,0,-1.808,-0.818,1921,0,-0.46
"498","1499",1,1,-1.068,6.718,1921,0,-0.46
"499","1499",0,1,-0.008,13.72,1921,0,-0.46
"500","1499",0,0,0.222,21.907,1921,0,-0.46
"501","1499",0,1,-0.498,-2.195,1921,0,-0.46
"502","1499",0,1,-0.258,8.519,1921,0,-0.46
"503","1499",1,1,-1.788,1.679,1921,0,-0.46
"504","1499",0,1,-0.648,-1.744,1921,0,-0.46
"505","1499",0,1,-0.178,6.795,1921,0,-0.46
"506","1499",1,1,-1.078,4.179,1921,0,-0.46
"507","1499",0,0,-0.398,7.709,1921,0,-0.46
"508","1499",0,1,0.832,5.35,1921,0,-0.46
"509","1499",1,1,-0.678,0.259,1921,0,-0.46
